step,fast_slow_gap,fast_wins,gap_evidence,state_action_pseudo_count,state_action_familiarity_weight,familiarity_ready,familiarity_warmup_remaining,block_completed,block_valid,block_evidence,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining,initial_warmup_remaining,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,predictor_nll
2900,0.00000000,0,0.00000000,0,0.00000000,0,7099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7099,-31.30348396,-31.30348396,42.78369904,42.78369904,0.32139498,0.32139498,35.55685552
3000,0.00000000,0,0.00000000,0,0.00000000,0,6999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6999,-80.88882446,-80.88882446,1.14512742,1.14512742,0.00559975,0.00559975,81.81469879
3100,0.00000000,0,0.00000000,0,0.00000000,0,6899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6899,-28.74425507,-28.74425507,22.33265114,22.33265114,0.19417800,0.19417800,29.49646886
3200,0.00000000,0,0.00000000,0,0.00000000,0,6799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6799,-27.12197495,-27.12197495,26.75577354,26.75577354,0.23051850,0.23051850,27.98536777
3300,0.00000000,0,0.00000000,0,0.00000000,0,6699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6699,-32.27674103,-32.27674103,8.76273346,8.76273346,0.12323860,0.12323860,33.85865879
3400,0.00000000,0,0.00000000,0,0.00000000,0,6599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6599,-31.05768394,-31.05768394,27.28626823,27.28626823,0.27386162,0.27386162,32.11307144
3500,0.00000000,0,0.00000000,0,0.00000000,0,6499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6499,-23.59926605,-23.59926605,8.84852409,8.84852409,0.15928517,0.15928517,23.12353849
3600,0.00000000,0,0.00000000,0,0.00000000,0,6399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6399,-26.53918076,-26.53918076,21.27356720,21.27356720,0.18605185,0.18605185,27.20119349
3700,0.00000000,0,0.00000000,0,0.00000000,0,6299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6299,-25.45646286,-25.45646286,12.98891163,12.98891163,0.16952324,0.16952324,25.22875913
3800,0.00000000,0,0.00000000,0,0.00000000,0,6199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6199,-29.51712799,-29.51712799,8.96773243,8.96773243,0.07523615,0.07523615,28.76939329
3900,0.00000000,0,0.00000000,0,0.00000000,0,6099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,6099,-26.96086121,-26.96086121,46.35770416,46.35770416,0.26305380,0.26305380,29.51748721
4000,0.00000000,0,0.00000000,0,0.00000000,0,5999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5999,-41.67558289,-41.67558289,1.08084214,1.08084214,0.00191491,0.00191491,41.97973537
4100,0.00000000,0,0.00000000,0,0.00000000,0,5899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5899,-28.39521980,-28.39521980,4.30470419,4.30470419,0.08365843,0.08365843,28.67198563
4200,0.00000000,0,0.00000000,0,0.00000000,0,5799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5799,-28.68480873,-28.68480873,5.48452091,5.48452091,0.07840198,0.07840198,29.07747726
4300,0.00000000,0,0.00000000,0,0.00000000,0,5699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5699,-24.77627182,-24.77627182,13.79826069,13.79826069,0.08957635,0.08957635,24.62957319
4400,0.00000000,0,0.00000000,0,0.00000000,0,5599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5599,-27.39820862,-27.39820862,44.20902634,44.20902634,0.20357510,0.20357510,26.65818469
4500,0.00000000,0,0.00000000,0,0.00000000,0,5499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5499,-26.67671204,-26.67671204,40.78454590,40.78454590,0.16414285,0.16414285,27.64977884
4600,0.00000000,0,0.00000000,0,0.00000000,0,5399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5399,-24.96194077,-24.96194077,37.52554703,37.52554703,0.21628810,0.21628810,25.70720482
4700,0.00000000,0,0.00000000,0,0.00000000,0,5299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5299,-29.82202911,-29.82202911,44.96385193,44.96385193,0.19345339,0.19345339,29.22538280
4800,0.00000000,0,0.00000000,0,0.00000000,0,5199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5199,-27.27393341,-27.27393341,20.95837593,20.95837593,0.09685837,0.09685837,27.92410469
4900,0.00000000,0,0.00000000,0,0.00000000,0,5099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5099,-26.10538292,-26.10538292,41.86023712,41.86023712,0.25705087,0.25705087,27.34984144
5000,0.00000000,0,0.00000000,0,0.00000000,0,4999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4999,-68.25615692,-68.25615692,1.14561987,1.14561987,0.00394485,0.00394485,67.71791077
5100,0.00000000,0,0.00000000,0,0.00000000,0,4899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4899,-27.43168068,-27.43168068,16.34407234,16.34407234,0.13170068,0.13170068,27.93230200
5200,0.00000000,0,0.00000000,0,0.00000000,0,4799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4799,-23.75188255,-23.75188255,19.12124252,19.12124252,0.10544036,0.10544036,24.71799850
5300,0.00000000,0,0.00000000,0,0.00000000,0,4699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4699,-23.89059830,-23.89059830,6.29215670,6.29215670,0.07893109,0.07893109,23.89966726
5400,0.00000000,0,0.00000000,0,0.00000000,0,4599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4599,-31.36469650,-31.36469650,42.31727600,42.31727600,0.23839110,0.23839110,39.49256897
5500,0.00000000,0,0.00000000,0,0.00000000,0,4499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4499,-24.17032623,-24.17032623,27.15727997,27.15727997,0.17551178,0.17551178,24.08063507
5600,0.00000000,0,0.00000000,0,0.00000000,0,4399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4399,-23.50761032,-23.50761032,18.09675026,18.09675026,0.13263215,0.13263215,23.66441154
5700,0.00000000,0,0.00000000,0,0.00000000,0,4299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4299,-28.26051712,-28.26051712,10.40417290,10.40417290,0.07083840,0.07083840,29.46596909
5800,0.00000000,0,0.00000000,0,0.00000000,0,4199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4199,-24.65385056,-24.65385056,50.07028198,50.07028198,0.35410362,0.35410362,29.41887856
5900,0.00000000,0,0.00000000,0,0.00000000,0,4099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4099,-27.39341354,-27.39341354,6.18890285,6.18890285,0.05807205,0.05807205,27.59397736
6000,0.00000000,0,0.00000000,0,0.00000000,0,3999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3999,-63.58429337,-63.58429337,1.12771344,1.12771344,0.00253442,0.00253442,64.86112722
6100,0.00000000,0,0.00000000,0,0.00000000,0,3899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3899,-25.34313583,-25.34313583,15.41093826,15.41093826,0.07242931,0.07242931,25.59930929
6200,0.00000000,0,0.00000000,0,0.00000000,0,3799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3799,-33.28640747,-33.28640747,45.01724243,45.01724243,0.21908879,0.21908879,35.93970362
6300,0.00000000,0,0.00000000,0,0.00000000,0,3699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3699,-24.99089622,-24.99089622,26.59754753,26.59754753,0.11981551,0.11981551,25.14069605
6400,0.00000000,0,0.00000000,0,0.00000000,0,3599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3599,-23.55649948,-23.55649948,22.04956818,22.04956818,0.07531450,0.07531450,23.15202332
6500,0.00000000,0,0.00000000,0,0.00000000,0,3499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3499,-27.05904770,-27.05904770,49.92289734,49.92289734,0.24533762,0.24533762,27.51241684
6600,0.00000000,0,0.00000000,0,0.00000000,0,3399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3399,-23.58678627,-23.58678627,37.44817734,37.44817734,0.11823405,0.11823405,23.97804387
6700,0.00000000,0,0.00000000,0,0.00000000,0,3299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3299,-31.21686363,-31.21686363,20.86465454,20.86465454,0.10388763,0.10388763,32.12329721
6800,0.00000000,0,0.00000000,0,0.00000000,0,3199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3199,-26.28031731,-26.28031731,17.14989662,17.14989662,0.12765616,0.12765616,26.81864119
6900,0.00000000,0,0.00000000,0,0.00000000,0,3099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3099,-22.74580574,-22.74580574,25.70089912,25.70089912,0.07705286,0.07705286,22.65856028
7000,0.00000000,0,0.00000000,0,0.00000000,0,2999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2999,-55.33358002,-55.33358002,1.14447379,1.14447379,0.00414219,0.00414219,55.48107910
7100,0.00000000,0,0.00000000,0,0.00000000,0,2899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2899,-29.44667053,-29.44667053,35.44622421,35.44622421,0.21007839,0.21007839,31.26579158
7200,0.00000000,0,0.00000000,0,0.00000000,0,2799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2799,-25.89640236,-25.89640236,47.13315201,47.13315201,0.18142724,0.18142724,nan
7300,0.00000000,0,0.00000000,0,0.00000000,0,2699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2699,-23.69444466,-23.69444466,48.11170197,48.11170197,0.18502033,0.18502033,23.85321554
7400,0.00000000,0,0.00000000,0,0.00000000,0,2599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2599,-22.71670151,-22.71670151,49.81661224,49.81661224,0.22589439,0.22589439,26.70700979
7500,0.00000000,0,0.00000000,0,0.00000000,0,2499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2499,-25.07378769,-25.07378769,42.35407639,42.35407639,0.15910369,0.15910369,25.86785841
7600,0.00000000,0,0.00000000,0,0.00000000,0,2399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2399,-25.44142532,-25.44142532,43.80458832,43.80458832,0.18116185,0.18116185,26.41972961
7700,0.00000000,0,0.00000000,0,0.00000000,0,2299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2299,-24.62150002,-24.62150002,29.99460793,29.99460793,0.12047342,0.12047342,nan
7800,0.00000000,0,0.00000000,0,0.00000000,0,2199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2199,-24.54168701,-24.54168701,33.48589325,33.48589325,0.16593677,0.16593677,23.68195629
7900,0.00000000,0,0.00000000,0,0.00000000,0,2099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2099,-23.05067444,-23.05067444,34.71633530,34.71633530,0.17846076,0.17846076,23.45045614
8000,0.00000000,0,0.00000000,0,0.00000000,0,1999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1999,-73.05868530,-73.05868530,1.17914140,1.17914140,0.00455098,0.00455098,75.55507151
8100,0.00000000,0,0.00000000,0,0.00000000,0,1899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1899,-26.33443832,-26.33443832,15.52273750,15.52273750,0.05877453,0.05877453,26.57466650
8200,0.00000000,0,0.00000000,0,0.00000000,0,1799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1799,-25.23816681,-25.23816681,49.41574478,49.41574478,0.29394564,0.29394564,37.75118351
8300,0.00000000,0,0.00000000,0,0.00000000,0,1699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1699,-21.33678436,-21.33678436,17.26653290,17.26653290,0.08545241,0.08545241,21.61152331
8400,0.00000000,0,0.00000000,0,0.00000000,0,1599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1599,-23.47888565,-23.47888565,27.92955589,27.92955589,0.09194160,0.09194160,23.18772554
8500,0.00000000,0,0.00000000,0,0.00000000,0,1499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1499,-24.31320953,-24.31320953,45.02374649,45.02374649,0.18430978,0.18430978,27.36234919
8600,0.00000000,0,0.00000000,0,0.00000000,0,1399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1399,-24.99081993,-24.99081993,17.18410301,17.18410301,0.07380560,0.07380560,25.05251455
8700,0.00000000,0,0.00000000,0,0.00000000,0,1299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1299,-25.77158737,-25.77158737,9.16561031,9.16561031,0.04878929,0.04878929,26.34940290
8800,0.00000000,0,0.00000000,0,0.00000000,0,1199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1199,-21.26478195,-21.26478195,19.27448273,19.27448273,0.10730892,0.10730892,21.34543419
8900,0.00000000,0,0.00000000,0,0.00000000,0,1099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1099,-22.56627083,-22.56627083,41.46247864,41.46247864,0.10037415,0.10037415,23.92621422
9000,0.00000000,0,0.00000000,0,0.00000000,0,999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,999,-43.17250061,-43.17250061,1.10229754,1.10229754,0.00202781,0.00202781,43.82784271
9100,0.00000000,0,0.00000000,0,0.00000000,0,899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,899,-23.81388283,-23.81388283,25.61985016,25.61985016,0.08488970,0.08488970,24.36259222
9200,0.00000000,0,0.00000000,0,0.00000000,0,799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,799,-26.29848862,-26.29848862,7.36917686,7.36917686,0.03549907,0.03549907,25.97150326
9300,0.00000000,0,0.00000000,0,0.00000000,0,699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,699,-35.91971207,-35.91971207,25.35589027,25.35589027,0.13621777,0.13621777,38.16194248
9400,0.00000000,0,0.00000000,0,0.00000000,0,599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,599,-24.87935066,-24.87935066,24.88264656,24.88264656,0.08448435,0.08448435,24.97634983
9500,0.00000000,0,0.00000000,0,0.00000000,0,499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,499,-22.70859718,-22.70859718,40.05534363,40.05534363,0.11374584,0.11374584,23.33099747
9600,0.00000000,0,0.00000000,0,0.00000000,0,399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,399,-22.37786102,-22.37786102,42.77833939,42.77833939,0.12093119,0.12093119,22.52577782
9700,0.00000000,0,0.00000000,0,0.00000000,0,299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,299,-23.61784172,-23.61784172,48.78121567,48.78121567,0.11985564,0.11985564,27.67801793
9800,0.00000000,0,0.00000000,0,0.00000000,0,199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,199,-27.44944572,-27.44944572,47.85256577,47.85256577,0.15250403,0.15250403,28.95239639
9900,0.00000000,0,0.00000000,0,0.00000000,0,99,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,99,-24.20566368,-24.20566368,25.14897919,25.14897919,0.12031296,0.12031296,24.03305244
10000,0.00000000,0,0.00000000,0,0.00000000,1,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,-41.35081482,-41.35081482,1.11167204,1.11167204,0.00236377,0.00236377,42.45619583
10099,1.19129944,1,0.00000000,0,0.00000000,1,0,1,0,0.00681461,0.01495434,1.49543356,nan,nan,nan,0,0,0,0,0,0,20,0,-23.29390335,-24.48520279,11.59696102,10.62030411,0.06010497,0.05440928,23.06505140
10100,1.75239182,1,0.00000000,0,0.00000000,1,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,-26.55788040,-28.31027222,14.19107533,12.76288986,0.08028081,0.08900891,27.08274269
10199,0.82237244,1,0.00000000,1,0.09516258,1,0,1,0,0.00663040,0.05107159,5.10715917,nan,nan,nan,0,0,0,0,0,0,20,0,-25.44184113,-26.26421356,48.57770920,46.75714493,0.20783144,0.20095183,30.65722561
10200,1.28939438,1,0.00000000,1,0.09516258,1,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,-24.17138672,-25.46078110,14.04534149,12.56500435,0.06230157,0.06174585,24.73993874
10299,1.05957222,1,0.00000000,1,0.09516258,1,0,1,0,0.02966526,0.08524847,8.52484678,nan,nan,nan,0,0,0,0,0,0,20,0,-28.26087189,-29.32044411,14.48926830,12.21681976,0.07402697,0.07266738,27.89494801
10300,0.11924362,1,0.00000000,3,0.25918178,1,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,-25.23674011,-25.35598373,26.63292503,21.81558609,0.06784263,0.06684038,25.72560946
10399,-0.01195335,0,0.00000000,3,0.25918178,1,0,1,0,0.00077871,0.14397066,14.39706634,nan,nan,nan,0,0,0,0,0,0,20,0,-25.91837692,-25.90642357,48.86748886,48.34825897,0.12666172,0.13608530,27.56781387
10400,1.98748589,1,0.00000000,0,0.00000000,1,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,-27.10895157,-29.09643745,49.29931641,47.95905304,0.10899772,0.10054109,35.38037443
10499,-0.74968529,0,0.00000000,3,0.25918178,1,0,1,0,0.00198465,0.16348570,16.34856975,nan,nan,nan,0,0,0,0,0,0,20,0,-21.99988174,-21.25019646,45.05093765,41.11288071,0.08736706,0.09124926,24.65938187
10500,0.69239235,1,0.00000000,2,0.18126925,1,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,-28.21143913,-28.90383148,10.94148254,9.55250168,0.03989489,0.03886086,28.64431877
10599,1.03230286,1,0.00000000,7,0.50341470,1,0,1,0,0.00000000,0.20197086,20.19708589,nan,nan,nan,0,0,0,0,0,0,20,0,-31.98661423,-33.01891708,10.73804760,9.85007000,0.04891479,0.04650381,32.27639627
10600,1.20482445,1,0.00000000,3,0.25918178,1,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,-21.93986130,-23.14468575,49.85780334,48.97225571,0.19768423,0.19194661,24.16625118
10699,0.81579971,1,0.00000000,1,0.09516258,1,0,1,0,0.00108471,0.22050788,22.05078778,nan,nan,nan,0,0,0,0,0,0,20,0,-24.38297844,-25.19877815,32.33774948,29.10112190,0.08577621,0.08513456,24.64087057
10700,-0.36733437,0,0.00000000,4,0.32967995,1,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,-23.55924797,-23.19191360,48.81784439,46.71697998,0.17590454,0.17745505,26.15995932
10799,-0.30887604,0,0.00000000,9,0.59343034,1,0,1,1,0.00465174,0.32073466,32.07346583,0.00465174,0.00465174,0.00000000,0,0,0,0,0,0,19,0,-22.67662430,-22.36774826,30.86725616,31.01312256,0.08471435,0.08146135,22.52096558
10800,0.16557884,1,0.00000000,3,0.25918178,1,0,0,0,nan,nan,nan,0.00465174,0.00465174,0.00000000,0,0,0,0,0,0,19,0,-25.00926590,-25.17484474,36.82356262,36.08671570,0.09172956,0.09627891,25.41727867
10899,1.19666100,1,0.00000000,1,0.09516258,1,0,1,1,0.00000000,0.36904475,36.90447467,0.00372139,0.00460522,-0.00088383,0,0,0,0,0,0,18,0,-21.04823685,-22.24489784,48.75969696,48.93608093,0.16946480,0.17175457,22.38204241
10900,-0.05807686,0,0.00000000,15,0.77686984,1,0,0,0,nan,nan,nan,0.00372139,0.00460522,-0.00088383,0,0,0,0,0,0,18,0,-23.09188080,-23.03380394,32.03608704,31.58286476,0.07239817,0.06622788,23.29352570
