step=458490, D_t=15.731966, c_t=3.094081, e_P=0.787061, e_R=0.421266, e_P_bar=4.510713, e_R_bar=3.334276
step=1182774, D_t=72.881831, c_t=3.675327, e_P=0.332807, e_R=0.238913, e_P_bar=4.096540, e_R_bar=11.357025
step=1189017, D_t=178.373343, c_t=3.655238, e_P=1.013638, e_R=0.035552, e_P_bar=18.881122, e_R_bar=0.499917
step=1190509, D_t=111.887310, c_t=3.326328, e_P=0.595258, e_R=0.436600, e_P_bar=6.367267, e_R_bar=13.536341
step=1194028, D_t=12.340815, c_t=3.050839, e_P=0.389513, e_R=0.022445, e_P_bar=4.968061, e_R_bar=-0.056552
step=1195406, D_t=47.507781, c_t=3.076986, e_P=0.314550, e_R=0.251948, e_P_bar=3.296289, e_R_bar=9.173333
step=1197360, D_t=27.158243, c_t=3.044569, e_P=0.262068, e_R=0.218204, e_P_bar=2.361580, e_R_bar=6.981363
step=1200815, D_t=24.565743, c_t=3.051264, e_P=0.189258, e_R=0.266139, e_P_bar=1.099621, e_R_bar=6.922595
step=1202988, D_t=141.298058, c_t=3.725888, e_P=0.340632, e_R=0.373873, e_P_bar=4.271063, e_R_bar=16.258971
step=1205344, D_t=119.154078, c_t=3.972701, e_P=0.272867, e_R=0.377861, e_P_bar=2.492861, e_R_bar=15.234625
step=1210861, D_t=40.561922, c_t=3.031526, e_P=0.590713, e_R=0.093812, e_P_bar=8.607268, e_R_bar=2.653072
step=1213331, D_t=15.987770, c_t=3.071967, e_P=0.137122, e_R=0.214068, e_P_bar=0.533798, e_R_bar=5.629441
step=1215018, D_t=22.024388, c_t=3.112114, e_P=0.201276, e_R=0.123890, e_P_bar=2.575198, e_R_bar=6.116954
step=1222811, D_t=23.861963, c_t=3.055246, e_P=0.138210, e_R=0.185652, e_P_bar=1.008252, e_R_bar=6.834278
step=1223996, D_t=25.041267, c_t=3.170374, e_P=0.252193, e_R=0.181591, e_P_bar=2.058090, e_R_bar=6.771027
step=1226730, D_t=105.274561, c_t=3.256212, e_P=0.707397, e_R=0.159954, e_P_bar=12.691132, e_R_bar=7.034507
step=1227860, D_t=42.183892, c_t=3.171697, e_P=0.796358, e_R=0.097561, e_P_bar=8.957916, e_R_bar=2.030649
step=1229453, D_t=108.587715, c_t=3.508127, e_P=0.710490, e_R=0.323904, e_P_bar=8.887875, e_R_bar=11.755046
step=1233482, D_t=88.362213, c_t=3.460776, e_P=0.890793, e_R=0.157867, e_P_bar=12.364731, e_R_bar=4.882402
step=1237658, D_t=35.896036, c_t=3.049574, e_P=0.547927, e_R=0.044499, e_P_bar=8.424572, e_R_bar=0.904795
step=1241050, D_t=37.971637, c_t=3.297368, e_P=0.584591, e_R=0.133634, e_P_bar=7.648716, e_R_bar=4.176173
step=1242794, D_t=105.748862, c_t=3.785786, e_P=0.935735, e_R=0.280218, e_P_bar=11.763253, e_R_bar=8.551234
step=1245985, D_t=19.198517, c_t=3.001240, e_P=0.222656, e_R=0.275216, e_P_bar=1.177163, e_R_bar=6.083693
step=1250672, D_t=43.732693, c_t=3.109673, e_P=0.113846, e_R=0.306410, e_P_bar=0.283980, e_R_bar=9.347981
step=1252791, D_t=50.694031, c_t=3.081361, e_P=0.223293, e_R=0.252058, e_P_bar=1.981684, e_R_bar=9.872233
step=1254637, D_t=25.827741, c_t=3.158105, e_P=0.717221, e_R=0.228083, e_P_bar=5.855441, e_R_bar=4.167648
step=1256591, D_t=193.949422, c_t=4.562734, e_P=0.352679, e_R=0.548630, e_P_bar=4.130702, e_R_bar=19.257106
step=1259352, D_t=25.013900, c_t=3.184552, e_P=0.250567, e_R=0.230602, e_P_bar=2.375680, e_R_bar=6.662128
step=1262523, D_t=16.234443, c_t=3.050899, e_P=0.257630, e_R=0.181942, e_P_bar=2.680297, e_R_bar=5.028409
step=1264108, D_t=34.897522, c_t=3.141185, e_P=0.220379, e_R=0.280348, e_P_bar=1.632502, e_R_bar=8.193289
step=1269047, D_t=19.409874, c_t=3.032774, e_P=0.455883, e_R=0.026315, e_P_bar=6.230546, e_R_bar=0.006933
step=1270816, D_t=29.921253, c_t=3.200402, e_P=0.434196, e_R=0.140328, e_P_bar=5.684708, e_R_bar=5.246580
step=1273994, D_t=86.998229, c_t=3.453256, e_P=0.890778, e_R=0.044327, e_P_bar=13.178878, e_R_bar=0.560025
step=1275459, D_t=188.031311, c_t=4.707266, e_P=0.464544, e_R=0.413835, e_P_bar=6.574365, e_R_bar=18.243913
step=1276861, D_t=44.432979, c_t=3.338222, e_P=0.248337, e_R=0.229725, e_P_bar=2.396270, e_R_bar=9.117228
step=1281501, D_t=83.073620, c_t=3.021057, e_P=0.477180, e_R=0.267765, e_P_bar=6.828281, e_R_bar=10.932604
step=1283680, D_t=40.626059, c_t=3.260203, e_P=0.702196, e_R=0.051931, e_P_bar=8.965366, e_R_bar=0.935055
step=1288766, D_t=61.944347, c_t=3.180017, e_P=0.323722, e_R=0.206942, e_P_bar=4.715002, e_R_bar=10.082532
step=1302098, D_t=13.677023, c_t=3.010862, e_P=0.236960, e_R=0.184088, e_P_bar=1.845838, e_R_bar=4.893560
step=1306562, D_t=54.867737, c_t=3.351493, e_P=0.209787, e_R=0.265252, e_P_bar=2.249176, e_R_bar=10.231162
step=1312491, D_t=202.708180, c_t=3.640116, e_P=1.153451, e_R=0.194809, e_P_bar=18.700930, e_R_bar=7.462680
step=1314893, D_t=38.991061, c_t=3.304452, e_P=0.415821, e_R=0.146313, e_P_bar=6.172460, e_R_bar=6.315287
step=1318344, D_t=191.117288, c_t=3.521651, e_P=1.086544, e_R=0.153200, e_P_bar=18.717005, e_R_bar=5.648743
step=1320411, D_t=58.500206, c_t=3.371945, e_P=0.312198, e_R=0.305838, e_P_bar=3.350552, e_R_bar=10.284659
step=1321952, D_t=33.678230, c_t=3.014817, e_P=0.136349, e_R=0.185994, e_P_bar=0.972218, e_R_bar=8.149310
step=1327014, D_t=84.509881, c_t=3.771257, e_P=0.532897, e_R=0.326466, e_P_bar=8.035564, e_R_bar=10.220052
step=1331912, D_t=37.305672, c_t=3.291828, e_P=0.464304, e_R=0.093982, e_P_bar=7.962155, e_R_bar=3.348946
step=1340796, D_t=14.199247, c_t=3.008106, e_P=0.176773, e_R=0.186086, e_P_bar=1.009484, e_R_bar=5.232536
step=1343987, D_t=20.382157, c_t=3.113303, e_P=0.064620, e_R=0.188680, e_P_bar=-0.401529, e_R_bar=6.384694
step=1349050, D_t=500.166853, c_t=7.452821, e_P=0.805209, e_R=0.626276, e_P_bar=12.452847, e_R_bar=29.073361
step=1352337, D_t=31.690265, c_t=3.236103, e_P=0.147923, e_R=0.271518, e_P_bar=0.932954, e_R_bar=7.906335
step=1354095, D_t=230.941176, c_t=3.691988, e_P=0.729225, e_R=0.602911, e_P_bar=9.894210, e_R_bar=19.078442
step=1357014, D_t=122.617914, c_t=3.829553, e_P=0.500525, e_R=0.298126, e_P_bar=8.001980, e_R_bar=13.461209
step=1360713, D_t=204.837314, c_t=3.453311, e_P=0.735288, e_R=0.529065, e_P_bar=10.474982, e_R_bar=17.319047
step=1365372, D_t=85.278595, c_t=3.254753, e_P=0.600567, e_R=0.220791, e_P_bar=9.888521, e_R_bar=8.530788
step=1370490, D_t=16.154844, c_t=3.070072, e_P=0.353029, e_R=0.131463, e_P_bar=4.275240, e_R_bar=3.745932
