block_index,step,E_k,W_k,mean_familiarity,mean_surprise,regime_change
343,44399,0.54108886,0.00000000,0.99406721,0.55394748,0
344,44499,0.55365252,0.00000000,0.99809695,0.55758509,0
345,44599,0.48885652,0.00000000,0.99905550,0.49046181,0
346,44699,0.54421825,0.00000000,0.99836395,0.54655708,0
347,44799,0.55417398,0.00000000,0.99914335,0.55746402,0
348,44899,0.56328176,0.00000000,0.99927306,0.56468263,0
349,44999,0.60132136,0.00000000,0.99910466,0.60305306,0
350,45099,0.93290784,0.36852690,0.92845112,1.17236179,0
351,45199,0.55301304,0.24140812,0.99960483,0.55399700,0
352,45299,0.57545136,0.13644780,0.99981570,0.57580654,0
353,45399,0.54092226,0.00000000,0.99935684,0.54197772,0
354,45499,0.57339736,0.00000000,0.99806815,0.57662340,0
355,45599,0.53511424,0.00000000,0.99629438,0.54065237,0
356,45699,0.50829448,0.00000000,0.99823069,0.51165408,0
357,45799,0.53447387,0.00000000,0.99906467,0.53659913,0
358,45899,0.58959047,0.00000000,0.99918323,0.59088099,0
359,45999,0.57528987,0.00000000,0.99768652,0.57872687,0
360,46099,0.73308075,0.12858707,0.93979233,0.88470841,0
361,46199,0.57535251,0.03024555,0.99657964,0.58257013,0
362,46299,0.53776264,0.00000000,0.99739994,0.54298112,0
363,46399,0.55350178,0.00000000,0.99981508,0.55403759,0
364,46499,0.58941092,0.00000000,0.99967424,0.59015708,0
365,46599,0.60291581,0.00000000,0.99913786,0.60498808,0
366,46699,0.56553059,0.00000000,0.99825556,0.56808211,0
367,46799,0.51827798,0.00000000,0.99582524,0.52632504,0
368,46899,0.52408785,0.00000000,0.99870489,0.52682057,0
369,46999,0.55882988,0.00000000,0.99973760,0.55936175,0
370,47099,1.09940796,0.48232852,0.96078628,1.26490589,0
371,47199,0.92172460,0.75403993,0.97378365,1.01664873,0
372,47299,0.47223885,0.54391163,0.99828399,0.47431185,0
373,47399,0.47093371,0.33116878,0.99908751,0.47253256,0
374,47499,0.50408097,0.15084775,0.99980231,0.50439516,0
375,47599,0.48932522,0.00000000,0.99994481,0.48943343,0
376,47699,0.52039241,0.00000000,0.99948916,0.52243142,0
377,47799,0.57313619,0.00000000,0.99812350,0.57663746,0
378,47899,0.58774502,0.00000000,0.99410707,0.59562870,0
379,47999,0.58725604,0.00000000,0.99990577,0.58747291,0
380,48099,0.81127503,0.19183469,0.96131775,0.92339697,0
381,48199,0.54492562,0.05653392,0.99782434,0.54943567,0
382,48299,0.53852225,0.00000000,0.99919477,0.54039157,0
383,48399,0.53716826,0.00000000,0.99968961,0.53794808,0
384,48499,0.54550585,0.00000000,0.99858934,0.54900404,0
385,48599,0.58931314,0.00000000,0.99953209,0.59004741,0
386,48699,0.57940314,0.00000000,0.99848998,0.58305934,0
387,48799,0.63991021,0.00000000,0.99825039,0.64315836,0
388,48899,0.55398273,0.00000000,0.99580850,0.55963962,0
389,48999,0.51234653,0.00000000,0.99990484,0.51247349,0
390,49099,0.99549808,0.37458143,0.95757529,1.12516610,0
391,49199,0.55014467,0.24619699,0.99362634,0.55545798,0
392,49299,0.49894872,0.06213142,0.99730176,0.50575380,0
393,49399,0.52208826,0.00000000,0.99983411,0.52234491,0
394,49499,0.57157048,0.00000000,0.99647437,0.57972917,0
395,49599,0.53799581,0.00000000,0.99860009,0.54153447,0
396,49699,0.58552859,0.00000000,0.99960596,0.58647672,0
397,49799,0.56630147,0.00000000,0.99941348,0.56790651,0
398,49899,0.54876211,0.00000000,0.99980697,0.54931483,0
399,49999,0.60786266,0.00000000,0.99929898,0.61055800,0
400,50099,0.85658913,0.20032663,0.98416297,0.90786126,0
401,50199,1.08315772,0.60266286,0.99662940,1.10395558,0
402,50299,0.98061695,0.91875663,0.98906072,1.03169295,0
403,50399,1.05694546,1.30220035,0.99326632,1.07633990,0
404,50499,0.87592625,1.49383189,0.99808876,0.88424405,0
405,50599,0.83883217,1.67621269,0.98261667,0.88582669,0
406,50699,0.66521335,1.67131075,0.98993143,0.67953693,0
407,50799,0.78382136,1.77702459,0.99497829,0.79258250,0
408,50899,0.62341405,1.73121647,0.98802732,0.63810492,0
409,50999,0.72558948,1.77877588,0.99310055,0.73961638,0
410,51099,0.80823194,1.91072908,0.99373283,0.82621029,0
411,51199,0.57935905,1.80402115,0.99871920,0.58238861,0
412,51299,0.78755753,1.92595203,0.98898530,0.81825865,0
413,51399,0.99853357,2.27642202,0.97214462,1.05436654,0
414,51499,0.66006077,2.26769461,0.99010387,0.68225357,0
415,51599,0.54233861,2.18213924,0.95985565,0.58294442,0
416,51699,0.57113253,2.07964357,0.98798316,0.58346509,0
417,51799,0.51929096,1.91238454,0.99881048,0.52086549,0
418,51899,0.52394243,1.75513911,0.99605843,0.53662578,0
419,51999,0.56527332,1.63976932,0.99606776,0.57292823,0
420,52099,1.61942623,2.59799183,0.97839107,1.68017074,1
421,53199,0.08807958,0.00000000,0.42177114,0.76448144,0
422,53299,0.10301855,0.00000000,0.51160000,0.72697863,0
423,53399,0.11204341,0.00000000,0.60128060,0.54321487,0
424,53499,0.12402655,0.00000000,0.61468113,0.54513643,0
425,53599,0.13761190,0.00000000,0.63548008,0.58477032,0
426,53699,0.18171990,0.00000000,0.68143601,0.58602319,0
427,53799,0.18515879,0.00000000,0.70835618,0.54382230,0
428,53899,0.24142281,0.00000000,0.72853672,0.58643330,0
429,53999,0.21763630,0.00000000,0.68562730,0.63849063,0
430,54099,0.41097293,0.00000000,0.66326551,1.30872158,0
431,54199,0.23896825,0.00000000,0.62399157,0.91276134,0
432,54299,0.21284568,0.00000000,0.71257156,0.54963372,0
433,54399,0.21196835,0.00000000,0.72645603,0.50028171,0
434,54499,0.25086117,0.00000000,0.78353068,0.53017830,0
435,54599,0.28054204,0.00000000,0.79630550,0.56649817,0
436,54699,0.30520520,0.00000000,0.78899611,0.58189322,0
437,54799,0.32838502,0.00000000,0.80475692,0.60757183,0
438,54899,0.30108783,0.00000000,0.85416128,0.50041450,0
439,54999,0.30187965,0.00000000,0.74213621,0.65068308,0
440,55099,0.42335515,0.00000000,0.67023752,1.06576085,0
441,55199,0.37219331,0.00000000,0.71283454,0.89368754,0
442,55299,0.39284991,0.00000000,0.74025181,0.89745187,0
443,55399,0.30786245,0.00000000,0.71164051,0.88163327,0
444,55499,0.28856049,0.00000000,0.87195589,0.45501936,0
445,55599,0.36029856,0.00000000,0.87969379,0.53339688,0
446,55699,0.34247506,0.00000000,0.87621655,0.51881776,0
447,55799,0.34589692,0.00000000,0.82613673,0.63546810,0
448,55899,0.34411637,0.00000000,0.89201774,0.50097362,0
